product,barcode,order,product_quantity,total_price,average_sales_price,average_cost_price,margin
     Snacks & Sweets / Candy & Cadbury,,1945,2835.0,8665.56,,,4123.86
oddie dubai chocolate pista 27g,8681657415755,195,256.0,637.44,2.49,1.0000000000000002,381.44
Cadbury Twirl,5000201499776,38,61.0,121.39,1.99,1.0,60.39
Cadbury Wholenut 120G,5034660521877,22,23.0,91.77,3.99,1.8699999999999999,48.76
CHOCART DHUBAI MILK CHOCOLATE 95G,610655632169,25,28.0,195.72,6.99,4.5,69.72
CHOCART KUNAFA PISTACHIO 37G,610655927890,46,61.0,121.39,1.99,1.25,45.14
Dairy milk Fruit & nut 49g,7622300743659,15,30.0,59.7,1.99,1.22,23.1
Dairymilk Caramel 45g,7622300743703,10,16.0,31.84,1.99,1.1600000000000001,13.28
MODA BAKLAVA PISTACHIO 30G,810185681365,15,26.0,77.74,2.99,1.8699999999999997,29.12
MODA BAKLAVA WALNUT 30G,810185681372,12,9.0,23.91,2.615,1.5,10.41
MODA DUBAI CHOCOLATE 95G,810185681716,60,66.0,330.34,5.006666666666667,3.4999999999999996,99.34
Gazab Pineapple Rings 200G,841970023800,1,1.0,2.99,2.99,2.0,0.99
Gazab Masala Candy,862120902288,1,1.0,1.99,1.99,1.5,0.49
Amul Milk Chocolates 150G,8901262070430,1,1.0,4.99,4.99,3.5,1.49
Amul Dark Chocolate 150G,8901262070676,7,7.0,34.93,4.99,3.1999999999999997,12.53
Telugsweetha Sesame Chikki Bar,8906142012197,4,4.0,9.96,2.49,1.7000000000000002,3.16
Lollipops,lo,6,12.0,6.0,0.5,0.08,5.04
Lollipop,lol,149,253.0,123.97,0.49,0.09999999999999999,98.67
Gazab Mix Fruity Dots,810070981204,2,2.0,3.98,1.99,1.5,0.98
Kinder Joy,80768258,1,1.0,1.99,1.99,1.0,0.99
Gazab Till Chikki 100G,841970033137,15,15.0,14.85,0.99,0.6799999999999999,4.65
Snicker Butter,8902433003134,2,2.0,3.98,1.99,1.0,1.98
GAZAB KACCHA MANGO,841970014372,2,2.0,5.98,2.99,1.0000000000000002,3.98
Adani Sugar Candy,8904147400759,9,10.0,19.9,1.99,0.8999999999999998,10.9
Candy Packet,cd,3,3.0,5.97,1.99,1.2499999999999998,2.22
Hajmola Regular 2.33Oz,8901207007637,5,5.0,9.95,1.99,0.9999999999999998,4.95
Cadbury D Milk Wnut 45G,96133262,44,56.0,111.44,1.99,0.8499999999999999,63.84
Dairy Mllk Hazelnut,7622201761769,2,2.0,11.98,5.99,4.0,3.98
Cadbury Dairy Milk Choc 45G,7622300743574,130,176.0,350.24,1.99,0.9900000000000001,176.0
Gazab Till Chikki 200G,636374920196,11,11.0,27.39,2.49,1.6,9.79
Puja Palm Jaggery P Chikki,841970024104,10,13.0,25.87,1.99,1.35,8.32
amul choco cracker,8901262070928,11,11.0,54.89,4.99,3.0,21.89
gazab santra candy 150g,862120902462,17,19.0,37.81,1.99,1.1500000000000001,15.96
Amul milk Chocolates mini,8901262071307,14,14.0,34.86,2.49,1.5,13.86
Meharban Safawi Dates 400G,723246291390,10,10.0,79.9,7.99,5.250000000000001,27.4
Amul Dark Chocolate mini,8901262071314,32,32.0,79.18,2.474375,1.5000000000000002,31.18
Telugu Peanut Chikki Bar,8906142012173,47,55.0,136.95,2.49,1.8359999999999999,35.97
Telugu Swetha Peanut Balls,8906142012180,35,39.0,97.11,2.49,1.7,30.81
Nutella 750G,http://ferrousa.net/4908ef,5,5.0,54.95,10.99,7.970000000000001,15.1
Amul Fruit N Nuts 150G,8901262070539,6,7.0,34.93,4.99,3.1999999999999997,12.53
Laxmi Crushed P Chikki,723246286358,26,29.0,72.21,2.49,1.7799999999999996,20.59
telugu sesame chikki balls,8906142012203,32,33.0,81.17,2.45875,1.5,31.67
Puja Cardmom Peanut Chikki,841970021660,39,46.0,91.54,1.99,1.35,29.44
Polo Mint Candy Roll,50251001,47,55.0,109.44,1.989787234042553,0.9199999999999999,58.84
Artu Angel hair pink chocolate,8684771538959,18,18.0,125.82,6.99,4.849999999999999,38.52
dairy milk wholenut 180g,7622201149574,19,21.0,125.79,5.99,4.9,22.89
Luxe Pistachio Cream 200g,8692946414717,11,12.0,95.88,7.99,4.999999999999999,35.88
Puja Peanut Chikki 160G,841970018271,72,83.0,165.17,1.99,1.3199999999999998,55.61
Snickers 52.7g,040000424314,23,27.0,50.73,1.859565217391304,0.0,50.73
Cadbury Eclairs 130 G,7622202209918,37,48.0,143.52,2.99,1.83,55.68
Dairymilk Fruit&Nut 110Gm,7622210644817,14,21.0,83.79,3.99,1.7200000000000002,47.67
Artu Angel hair blue,8684771538935,28,28.0,195.72,6.99,4.8500000000000005,59.92
Artu Angel Hair Pistachio,8684771538942,31,31.0,216.69,6.99,4.85,66.34
Dubai Chocolate luxe 70g,8692946413970,46,50.0,399.5,7.99,5.3,134.5
Cadbury Flakes 34G,50201013,86,139.0,234.91,1.69,0.9099999999999999,108.42
Cadbury Fruit & Nut 49Gm,7622300743659,86,122.0,242.78,1.99,0.8499999999999999,139.08
Dairymilk Milk&Choc 110Gm,7622210521811,156,227.0,905.73,3.99,1.8,497.13
Dubai chocolate premium,8696150701298,60,69.0,482.31,6.99,4.6,164.91
CarsiBasi Dubai chocolate,8697686248486,49,54.0,539.46,9.99,6.25,201.96
Luxury Trends dhubai chocolate,810185681785,68,71.0,614.29,8.695882352941176,4.499999999999999,294.79
Kinder Joy Egg,00985234,226,306.0,608.94,1.99,0.0,608.94
     All / Saleable / PoS,,67,67.0,-1552.6,-23.17310447761194,0.0,-1552.6
Discount,DISC,67,67.0,-1552.6,-23.17310447761194,0.0,-1552.6
"     Rice, Grains & Flour Products / Roti Naan",,580,881.0,5571.19,6.383739703459637,8.585028376844495,-1992.22
Desi Roti 12Ct Uncooked,837654583364,380,602.0,3605.98,5.99,11.0,-3016.02
Vadilal Aloo Paratha (4pcs),8901777401125,4,5.0,14.95,2.99,2.0,4.95
Deep Mix Veg. Paratha 400Gm,011433150927,19,25.0,99.75,3.99,2.85,28.5
Dd Methi 8Pcs,c4,8,10.0,39.9,3.99,2.9899999999999998,10.0
Roti Fresh 12Pcs,rt,14,19.0,132.81,6.99,2.6500000000000004,82.46
Desi Fulka 12 Count,727785310680,73,80.0,559.2,6.99,4.000000000000001,239.2
ORGANIC TAVA FRESH(organic),899450002340,46,59.0,471.41,7.99,2.99,295.0
Uncooked Chapati,899450002005,63,81.0,647.19,7.99,3.500000000000001,363.69
     All / Deliveries,,2,0.0,0.0,0.2,,0.0
Test,TBA325047053100,2,0.0,0.0,0.2,,0.0
     Ready-to-Eat & Instant Foods,,9,10.0,29.9,2.99,1.4899999999999998,15.0
Mtr Vermicelli Payasam 180g,840965002431,9,10.0,29.9,2.99,1.4899999999999998,15.0
"     Spices, Seasonings & Condiments",,21,22.0,65.78,2.99,1.9590909090909092,22.68
Adani Sindhaloo Namak 400g,8904147412059,4,4.0,11.96,2.99,2.0,3.96
Swetha sabudana 2LB,8906081383006,18,18.0,53.82,2.99,1.9500000000000002,18.72
     snacks,,6,6.0,23.94,3.99,2.8000000000000003,7.14
Ramdev Mamra Kolhapuri 400g,8902188326083,6,6.0,23.94,3.99,2.8000000000000003,7.14
     bis,,14,14.0,55.86,3.99,2.2,25.06
Mirch Masala Khatta Mitha 340g,011433157988,14,14.0,55.86,3.99,2.2,25.06
     pooja,,13,18.99,46.86,2.990714285714286,0.0,46.86
Matches,860011721833,8,8.0,15.92,1.99,0.0,15.92
Laxmi Goddess,943460713,6,10.99,30.94,4.325,0.0,30.94
     Fruits & Vegetables,,116,120.0,532.31,4.434051724137931,2.066583333333333,284.32
lettuce,let,1,1.0,1.0,1.0,1.99,-0.99
