product,total_quantity_sold,total_revenue,average_quantity_sold,average_revenue,number_of_records
     Fruits & Vegetables / Produces & Fruit,83911.62,126897.52,83911.62,126897.52,1
     Meat / CHICKEN,19783.88,90149.6,19783.88,90149.6,1
     Meat / GOAT  / LAMB,6276.61,81963.02,6276.61,81963.02,1
     Jalebi & DD Rotis,13479.0,79087.81,13479.0,79087.81,1
Chkn Whole Cut,11091.03,47555.9,11091.03,47555.9,1
Jalebi Yellow 1lb,3812.5,45684.42,3812.5,45684.42,1
     Dairy Products / Dairy,5694.23,35404.58,5694.23,35404.58,1
"     Rice, Grains & Flour Products / Rice",1756.63,31897.66,1756.63,31897.66,1
Goat Mix,2042.14,24469.7,2042.14,24469.7,1
     Snacks & Sweets / Snacks,7556.55,23767.91,7556.55,23767.91,1
Goat Leg,1605.65,23216.68,1605.65,23216.68,1
Jalebi Yellow Half Pound,2979.0,17820.22,2979.0,17820.22,1
Goat Shoulder,1202.92,17422.08,1202.92,17422.08,1
Dd Roti 8Ct,6687.5,15583.17,6687.5,15583.17,1
     Religious & Cultural Items / Pooja Items,2671.99,15274.18,2671.99,15274.18,1
"     Rice, Grains & Flour Products / Dals ",2910.0,14206.71,2910.0,14206.71,1
Chkn Leg Qtr,3431.64,13692.87,3431.64,13692.87,1
"     Spices, Seasonings & Condiments / Spices",3421.0,13358.05,3421.0,13358.05,1
     Cooking Essentials & Oils / Nuts & Dry Fruit,1970.0,12244.87,1970.0,12244.87,1
     Cooking Essentials & Oils / Oils,1136.0,11808.66,1136.0,11808.66,1
"     Spices, Seasonings & Condiments / Spice Mix",4723.8,11496.71,4723.8,11496.71,1
     Beverages / Coff & Tea,1261.0,9956.45,1261.0,9956.45,1
     Snacks & Sweets / Biscuits,5093.49,9108.4,5093.49,9108.4,1
     Snacks & Sweets / Candy & Cadbury,2835.0,8665.56,2835.0,8665.56,1
Chkn Thi Bnls,1463.63,8035.36,1463.63,8035.36,1
     Frozen Items / Frozen Vegatables & Fruits,2294.0,7838.28,2294.0,7838.28,1
Chkn Breast,1281.21,7653.84,1281.21,7653.84,1
"     Rice, Grains & Flour Products / Flour",1648.0,7309.52,1648.0,7309.52,1
     Frozen Items / Frozen Naan & Roti,1193.0,6654.68,1193.0,6654.68,1
     Frozen Items / Frozen Ready to Eat,992.0,6011.68,992.0,6011.68,1
"     Snacks & Sweets / Cookies, Khari & Rusk",1679.0,5991.81,1679.0,5991.81,1
Tomato Reg /Lb,4699.74,5647.24,4699.74,5647.24,1
"     Rice, Grains & Flour Products / Roti Naan",881.0,5571.19,881.0,5571.19,1
     Dairy Products / Ghee,399.0,5472.01,399.0,5472.01,1
     Ready-to-Eat & Instant Foods / Noodles & Maggies,1820.0,5468.22,1820.0,5468.22,1
guava,1199.06,5380.3,1199.06,5380.3,1
Okra Loose \Lb,2183.2,5375.62,2183.2,5375.62,1
Goat Ground Reg,372.95,5217.72,372.95,5217.72,1
Amul Gold 1 Gal,871.0,5207.38,871.0,5207.38,1
     Cooking Essentials & Oils / COCO / JAGGERY,1242.0,4885.17,1242.0,4885.17,1
Laxmi Sonamasoori Rice 20Lb,239.0,4791.61,239.0,4791.61,1
Chkn Drumstick,1087.66,4338.45,1087.66,4338.45,1
     produce,1181.98,4337.49,1181.98,4337.49,1
Roma Tomatoes /Lb,4329.95,4311.6,4329.95,4311.6,1
     Ready-to-Eat & Instant Foods / Ready To Eat,671.0,4301.79,671.0,4301.79,1
Cilantro - Per Bunch,9253.31,4185.3,9253.31,4185.3,1
Coconut / Each,1399.76,4185.29,1399.76,4185.29,1
Red Onion 3Lb,1340.5,4008.1,1340.5,4008.1,1
     Beverages / Drinks,1418.0,3975.64,1418.0,3975.64,1
     Frozen Items / Frozen Sweets,430.0,3683.8,430.0,3683.8,1
Desi Natural Dahi whole milk 4lb,461.0,3683.39,461.0,3683.39,1
Desi Roti 12Ct Uncooked,602.0,3605.98,602.0,3605.98,1
Vajra Sona Masoori Rice 20LB,174.63,3486.83,174.63,3486.83,1
"     Rice, Grains & Flour Products / Atta",309.0,3383.93,309.0,3383.93,1
Thai Chilli - Lb,1643.02,3336.24,1643.02,3336.24,1
Cut Jackfruit,554.0,3318.46,554.0,3318.46,1
Tindora / Lb,1419.01,3315.78,1419.01,3315.78,1
Curry Leaves Bag,3204.18,3170.64,3204.18,3170.64,1
     Health & Personal Care / Personal Hygiene,849.0,3102.54,849.0,3102.54,1
Fresh Banana / Lb,3105.58,2983.6,3105.58,2983.6,1
Mint Bunch / Each,2876.51,2847.74,2876.51,2847.74,1
Gopi Paneer 14Oz,354.0,2824.37,354.0,2824.37,1
Uncooked Phulka Roti,404.0,2823.96,404.0,2823.96,1
Indian Flowers,553.0,2755.47,553.0,2755.47,1
Burn Country Chicken,303.49,2728.55,303.49,2728.55,1
Red Onion 5Lb,518.89,2589.26,518.89,2589.26,1
"     Rice, Grains & Flour Products / Poha, Mamra & Sabudana",654.0,2566.96,654.0,2566.96,1
TURIA,1383.56,2517.34,1383.56,2517.34,1
Sweet Potato,758.3,2512.42,758.3,2512.42,1
small eggplant,1110.99,2471.28,1110.99,2471.28,1
     Meat / FRESH FISH,330.25,2416.94,330.25,2416.94,1
"     Spices, Seasonings & Condiments / Chutneys",544.0,2326.56,544.0,2326.56,1
     Snacks & Sweets,396.0,2310.54,396.0,2310.54,1
Chkn Brst Ground,385.33,2308.14,385.33,2308.14,1
Red Onion 10/Lb,249.0,2238.51,249.0,2238.51,1
Red Onions - Lb,2253.01,2193.96,2253.01,2193.96,1
Bhumi Organic Rice 20Lb,140.0,2173.24,140.0,2173.24,1
     Cooking Essentials & Oils / UTENSILS,297.0,2166.58,297.0,2166.58,1
Long Squash /Lb,1480.11,2157.78,1480.11,2157.78,1
Garlic 5Pc,672.0,2132.78,672.0,2132.78,1
Desi Uncooked Fulka,346.0,2072.54,346.0,2072.54,1
"     Spices, Seasonings & Condiments / pickles",602.0,2056.18,602.0,2056.18,1
Potatoes White/ Lb,2343.38,2039.53,2343.38,2039.53,1
Shrimp / lb,252.36,2016.71,252.36,2016.71,1
Green Mango/ Lb,776.14,2015.07,776.14,2015.07,1
     Ready-to-Eat & Instant Foods / Instant Mix,547.0,2011.13,547.0,2011.13,1
All SWEETS,276.0,1973.25,276.0,1973.25,1
Drumsticks / Lb,281.18,1969.73,281.18,1969.73,1
Goat Chops,157.64,1969.3,157.64,1969.3,1
Green Lime Each,8369.26,1957.32,8369.26,1957.32,1
Natural Chicken,339.9,1866.08,339.9,1866.08,1
Maggi Masala Noodles 560G,365.0,1821.35,365.0,1821.35,1
Goat Paya With Skin,177.86,1776.95,177.86,1776.95,1
Valor Flat / Lb,283.03,1744.71,283.03,1744.71,1
Goats Ribs,167.96,1677.81,167.96,1677.81,1
Desi Yogurt Natural-2Lb Wm,420.14,1676.36,420.14,1676.36,1
"     Spices, Seasonings & Condiments / Sauces",465.0,1670.35,465.0,1670.35,1
Gopi Yogurt Plain/Whole Mi 4Lb,197.0,1574.03,197.0,1574.03,1
     Frozen Items / Ice Cream & Kulfi,326.0,1561.25,326.0,1561.25,1
Goat Liver,195.77,1557.79,195.77,1557.79,1
Gopi Yogurt Plain 2 Lbs,310.0,1546.9,310.0,1546.9,1
Amul Taaza 1 Gal,305.0,1521.95,305.0,1521.95,1
Chkn Thi Grnd,273.57,1501.98,273.57,1501.98,1
Ginger Organic/Lb,432.15,1497.47,432.15,1497.47,1
GOAT BRAIN,70.37,1477.01,70.37,1477.01,1
Laxmi Cold Pres Peanut Oil 5Lt,41.0,1413.59,41.0,1413.59,1
Pomegranate Small /Ea,364.58,1410.27,364.58,1410.27,1
Cauliflower,408.31,1378.86,408.31,1378.86,1
Cut Vegetables,345.13,1363.07,345.13,1363.07,1
Godavari Crystal Rice 20lb,45.0,1349.55,45.0,1349.55,1
