product,total_quantity_sold,total_revenue,average_quantity_sold,predicted_60_day_quantity,reason
          $ 3.99 on specific products,17.0,-67.83,17.0,1020.0,Prediction is based on average quantity sold during the given timeframe.
          $ 5.99 on Vajra Sona Masoori Rice 20LB,72.0,-431.28,72.0,4320.0,Prediction is based on average quantity sold during the given timeframe.
          $ 5.99 on Vajra Sona Masoori Rice 20LB  (2),1.0,-5.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
          $ 5.99 on specific products,389.0,-1977.11,389.0,23340.0,Prediction is based on average quantity sold during the given timeframe.
          BOGO HAPPY LEAF IDLY RAVA 4LB,5.0,-29.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
          Buy 2 @ $2.99 on Bambino Snacks,7.0,-6.93,7.0,420.0,Prediction is based on average quantity sold during the given timeframe.
          Buy 2 @ $5 Green Harvest Millet Noodles,30.0,-29.4,30.0,1800.0,Prediction is based on average quantity sold during the given timeframe.
          Buy 2 @$4 Parle Chatkeens,26.0,-25.48,26.0,1560.0,Prediction is based on average quantity sold during the given timeframe.
          Buy 2 Get 1 Free Kitchen Xpress 312g,30.0,-89.7,30.0,1800.0,Prediction is based on average quantity sold during the given timeframe.
          Dussehra Special Offer on Chkn Whole Cut,81.0,-226.79,81.0,4860.0,Prediction is based on average quantity sold during the given timeframe.
          Dussehra Special Offer on Goat Leg,26.0,-285.05,26.0,1560.0,Prediction is based on average quantity sold during the given timeframe.
          Dussehra Special Offer on Goat Mix,33.0,-66.36,33.0,1980.0,Prediction is based on average quantity sold during the given timeframe.
          Lion Honey Buy 1 Get 1 Free,13.0,-64.87,13.0,780.0,Prediction is based on average quantity sold during the given timeframe.
          Loyalty Program: $5 Discount Applied,434.0,-2165.87,434.0,26040.0,Prediction is based on average quantity sold during the given timeframe.
          advatisements,1.0,300.0,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
          chicken leg,1.0,11.33,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
          chicken liver,12.02,32.34,12.02,721.1999999999999,Prediction is based on average quantity sold during the given timeframe.
          feather,1.0,5.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
          feather peacock,3.0,16.98,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
          jawar Rotti 10 pcs,1.0,12.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
          kumkum,2.0,1.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
          pia beauty ubtan bath powder,1.0,7.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
          thumbup orange,2.0,1.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
     All,2215.24,-2334.5,2215.24,132914.4,Prediction is based on average quantity sold during the given timeframe.
     All / Deliveries,0.0,0.0,0.0,0.0,Prediction is based on average quantity sold during the given timeframe.
     All / Saleable / PoS,67.0,-1552.6,67.0,4020.0,Prediction is based on average quantity sold during the given timeframe.
     Beverages / Coff & Tea,1261.0,9956.45,1261.0,75660.0,Prediction is based on average quantity sold during the given timeframe.
     Beverages / Drinks,1418.0,3975.64,1418.0,85080.0,Prediction is based on average quantity sold during the given timeframe.
     Beverages / Healthy Drinks,48.0,300.02,48.0,2880.0,Prediction is based on average quantity sold during the given timeframe.
     Beverages / Mango Pulp,84.0,407.16,84.0,5040.0,Prediction is based on average quantity sold during the given timeframe.
     Cooking Essentials & Oils,81.0,480.19,81.0,4860.0,Prediction is based on average quantity sold during the given timeframe.
     Cooking Essentials & Oils / COCO / JAGGERY,1242.0,4885.17,1242.0,74520.0,Prediction is based on average quantity sold during the given timeframe.
     Cooking Essentials & Oils / Nuts & Dry Fruit,1970.0,12244.87,1970.0,118200.0,Prediction is based on average quantity sold during the given timeframe.
     Cooking Essentials & Oils / Oils,1136.0,11808.66,1136.0,68160.0,Prediction is based on average quantity sold during the given timeframe.
     Cooking Essentials & Oils / UTENSILS,297.0,2166.58,297.0,17820.0,Prediction is based on average quantity sold during the given timeframe.
     Dairy Products,71.0,354.29,71.0,4260.0,Prediction is based on average quantity sold during the given timeframe.
     Dairy Products / Dairy,5694.23,35404.58,5694.23,341653.8,Prediction is based on average quantity sold during the given timeframe.
     Dairy Products / Ghee,399.0,5472.01,399.0,23940.0,Prediction is based on average quantity sold during the given timeframe.
     Frozen Items,67.0,388.13,67.0,4020.0,Prediction is based on average quantity sold during the given timeframe.
     Frozen Items / Frozen Naan & Roti,1193.0,6654.68,1193.0,71580.0,Prediction is based on average quantity sold during the given timeframe.
     Frozen Items / Frozen Ready to Eat,992.0,6011.68,992.0,59520.0,Prediction is based on average quantity sold during the given timeframe.
     Frozen Items / Frozen Sweets,430.0,3683.8,430.0,25800.0,Prediction is based on average quantity sold during the given timeframe.
     Frozen Items / Frozen Vegatables & Fruits,2294.0,7838.28,2294.0,137640.0,Prediction is based on average quantity sold during the given timeframe.
     Frozen Items / Ice Cream & Kulfi,326.0,1561.25,326.0,19560.0,Prediction is based on average quantity sold during the given timeframe.
     Fruits & Vegetables,120.0,532.31,120.0,7200.0,Prediction is based on average quantity sold during the given timeframe.
     Fruits & Vegetables / CanVeg ,169.0,369.33,169.0,10140.0,Prediction is based on average quantity sold during the given timeframe.
     Fruits & Vegetables / Produces & Fruit,83911.62,126897.52,83911.62,5034697.199999999,Prediction is based on average quantity sold during the given timeframe.
     Health & Personal Care,17.0,117.85,17.0,1020.0,Prediction is based on average quantity sold during the given timeframe.
     Health & Personal Care / Henna & Dye,360.0,1194.4,360.0,21600.0,Prediction is based on average quantity sold during the given timeframe.
     Health & Personal Care / Medicine,117.0,428.73,117.0,7020.0,Prediction is based on average quantity sold during the given timeframe.
     Health & Personal Care / Personal Hygiene,849.0,3102.54,849.0,50940.0,Prediction is based on average quantity sold during the given timeframe.
     Health & Personal Care / Soap and Shampoo,69.0,199.81,69.0,4140.0,Prediction is based on average quantity sold during the given timeframe.
     Jalebi & DD Rotis,13479.0,79087.81,13479.0,808740.0,Prediction is based on average quantity sold during the given timeframe.
     Meat / CHICKEN,19783.88,90149.6,19783.88,1187032.8,Prediction is based on average quantity sold during the given timeframe.
     Meat / FRESH FISH,330.25,2416.94,330.25,19815.0,Prediction is based on average quantity sold during the given timeframe.
     Meat / GOAT  / LAMB,6276.61,81963.02,6276.61,376596.6,Prediction is based on average quantity sold during the given timeframe.
     NONE,95.0,266.05,95.0,5700.0,Prediction is based on average quantity sold during the given timeframe.
     Non-Tax,50.0,296.5,50.0,3000.0,Prediction is based on average quantity sold during the given timeframe.
     ORGANIC,50.0,669.5,50.0,3000.0,Prediction is based on average quantity sold during the given timeframe.
     Rakhis,68.0,279.3,68.0,4080.0,Prediction is based on average quantity sold during the given timeframe.
     Ready-to-Eat & Instant Foods,10.0,29.9,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
     Ready-to-Eat & Instant Foods / Instant Mix,547.0,2011.13,547.0,32820.0,Prediction is based on average quantity sold during the given timeframe.
     Ready-to-Eat & Instant Foods / Noodles & Maggies,1820.0,5468.22,1820.0,109200.0,Prediction is based on average quantity sold during the given timeframe.
     Ready-to-Eat & Instant Foods / Ready To Eat,671.0,4301.79,671.0,40260.0,Prediction is based on average quantity sold during the given timeframe.
     Ready-to-Eat & Instant Foods / Soups,266.0,529.34,266.0,15960.0,Prediction is based on average quantity sold during the given timeframe.
     Religious & Cultural Items / INCENSES,86.0,334.64,86.0,5160.0,Prediction is based on average quantity sold during the given timeframe.
     Religious & Cultural Items / Pooja Items,2671.99,15274.18,2671.99,160319.4,Prediction is based on average quantity sold during the given timeframe.
"     Rice, Grains & Flour Products",61.0,714.39,61.0,3660.0,Prediction is based on average quantity sold during the given timeframe.
"     Rice, Grains & Flour Products / Atta",309.0,3383.93,309.0,18540.0,Prediction is based on average quantity sold during the given timeframe.
"     Rice, Grains & Flour Products / Dals ",2910.0,14206.71,2910.0,174600.0,Prediction is based on average quantity sold during the given timeframe.
"     Rice, Grains & Flour Products / Flour",1648.0,7309.52,1648.0,98880.0,Prediction is based on average quantity sold during the given timeframe.
"     Rice, Grains & Flour Products / Poha, Mamra & Sabudana",654.0,2566.96,654.0,39240.0,Prediction is based on average quantity sold during the given timeframe.
"     Rice, Grains & Flour Products / Rice",1756.63,31897.66,1756.63,105397.8,Prediction is based on average quantity sold during the given timeframe.
